event_name,event_id,fight_id,r_name,r_id,b_name,b_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee
UFC Fight Night: Lemos vs. Jandiroba,c11036da9162cb5f,4a00db8aeff200a2,Amanda Lemos,3df5493bb279226f,Virna Jandiroba,7dda2cf308f24a02,Flyweight,0,Submission,2,288,5,Mark Smith
UFC Fight Night: Lemos vs. Jandiroba,c11036da9162cb5f,94541dd979e0b4bd,Cody Durden,7f6ed67d3ed3c036,Bruno Silva,294aa73dbf37d281,Flyweight,0,KO/TKO,2,178,3,Chris Tognoni
UFC Fight Night: Lemos vs. Jandiroba,c11036da9162cb5f,ec8bc554a0646638,Dooho Choi,e93b04e308913c2e,Bill Algeo,9abc648e76c4493a,Featherweight,0,KO/TKO,2,218,3,Herb Dean
UFC Fight Night: Lemos vs. Jandiroba,c11036da9162cb5f,9eaa33f874bbb999,Kurt Holobaugh,a7151778b3381036,Kaynan Kruschewsky,ca36633b80be4a78,Lightweight,0,Decision - Unanimous,3,300,3,Kerry Hatley
UFC Fight Night: Lemos vs. Jandiroba,c11036da9162cb5f,6e6567a98ea78891,JeongYeong Lee,d008d785f6347dc2,Hyder Amil,41cc71cbf210e0fe,Featherweight,0,KO/TKO,1,65,3,Mark Smith
UFC Fight Night: Lemos vs. Jandiroba,c11036da9162cb5f,e655774643881e6c,Miranda Maverick,f29a6350c69f4a33,Dione Barbosa,27b388f0aab49780,Flyweight,0,Decision - Unanimous,3,300,3,Chris Tognoni
UFC Fight Night: Lemos vs. Jandiroba,c11036da9162cb5f,40c18c6d64463809,Brian Kelleher,7be14eaed4c74856,Cody Gibson,700a674c042b7a96,Bantamweight,0,Submission,1,238,3,Kerry Hatley
UFC Fight Night: Lemos vs. Jandiroba,c11036da9162cb5f,c3ef9edf73626521,Luana Carolina,528b071cf3da7c56,Lucie Pudilova,3cf66c62d9069f43,Flyweight,0,Decision - Unanimous,3,300,3,Mark Smith
UFC Fight Night: Lemos vs. Jandiroba,c11036da9162cb5f,b3f1253d0a991791,Loik Radzhabov,8c169fbe1ac33637,Trey Ogden,cfc3e7bb44685289,Lightweight,0,Decision - Unanimous,3,300,3,Herb Dean
UFC Fight Night: Holloway vs. The Korean Zombie,89a407032911e27e,dd617f6ab4916ec4,Giga Chikadze,9560ff14eb3129f7,Alex Caceres,7aa3d6964eff4877,Featherweight,0,Decision - Unanimous,3,300,3,Marc Goddard
UFC Fight Night: Lemos vs. Jandiroba,c11036da9162cb5f,836e9bc5c1f6acd3,Mohammed Usman,da7f113b5ea39c43,Thomas Petersen,764d39074a352e33,Heavyweight,0,Decision - Unanimous,3,300,3,Kerry Hatley
UFC Fight Night: Holloway vs. The Korean Zombie,89a407032911e27e,de89bea7b0dcd2d3,Rinya Nakamura,d8c811df0386d5e8,Fernie Garcia,9e92e1ca498d7244,Bantamweight,0,Decision - Unanimous,3,300,3,Kevin Sataki
UFC Fight Night: Holloway vs. The Korean Zombie,89a407032911e27e,96704d7ba3a452d9,Max Holloway,150ff4cc642270b9,Chan Sung Jung,c451d67c09c55418,Featherweight,0,KO/TKO,3,23,5,Marc Goddard
UFC Fight Night: Holloway vs. The Korean Zombie,89a407032911e27e,5.53132E+15,Erin Blanchfield,669970f7feba8ecd,Taila Santos,f7467152fd9f18a2,Flyweight,0,Decision - Unanimous,3,300,3,Thomas Fan
UFC Fight Night: Holloway vs. The Korean Zombie,89a407032911e27e,c53b0f678fe2f16a,Anthony Smith,d4c9dcd330403612,Ryan Spann,a67f5afa8d6a1b80,Light Heavyweight,0,Decision - Split,3,300,3,Mark Craig
UFC Fight Night: Holloway vs. The Korean Zombie,89a407032911e27e,bfc9989751bd0d04,Waldo Cortes-Acosta,fc08099550072fe4,Lukasz Brzeski,0c25d0a5e8cdbf19,Heavyweight,0,KO/TKO,1,181,3,Mark Craig
